Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-26 00:00:00-05:00,119.40211317040608,121.6033452358005,118.04825992472897,118.10670471191406,164560400,0.0,0.0
2021-03-01 00:00:00-05:00,120.53194563410155,124.60324720609326,119.59691082635653,124.46688842773438,116307900,0.0,0.0
2021-03-02 00:00:00-05:00,125.07076378614747,125.37270000855568,121.75917765120198,121.86631774902344,102260900,0.0,0.0
2021-03-03 00:00:00-05:00,121.56437474382311,122.4409721711293,118.6716069492106,118.8858871459961,112966300,0.0,0.0
2021-03-04 00:00:00-05:00,118.583971529586,120.38586201324064,115.53536779088374,117.00609588623047,178155000,0.0,0.0
2021-03-05 00:00:00-05:00,117.83397451469976,118.76900926850234,114.51264641529035,118.26252746582031,153766600,0.0,0.0
2021-03-08 00:00:00-05:00,117.78528102761602,117.85346041822143,113.18802088680535,113.33412170410156,154376600,0.0,0.0
2021-03-09 00:00:00-05:00,115.93470289838993,118.88590857647793,115.700946019303,117.94113159179688,129525800,0.0,0.0
2021-03-10 00:00:00-05:00,118.52553226949556,118.99304601715157,116.34377667711071,116.86000061035156,111943300,0.0,0.0
2021-03-11 00:00:00-05:00,119.35340180320566,120.00597696289303,118.10668883216246,118.78848266601562,103026500,0.0,0.0
2021-03-12 00:00:00-05:00,117.26906067587845,118.01903394756955,116.06130832636462,117.88267517089844,88105100,0.0,0.0
2021-03-15 00:00:00-04:00,118.25279105319385,120.77543569972144,117.28853020817765,120.76569366455078,92403800,0.0,0.0
2021-03-16 00:00:00-04:00,122.43124321692929,123.91172068145192,121.47673169598399,122.30462646484375,115227900,0.0,0.0
2021-03-17 00:00:00-04:00,120.82416526324258,122.58709503966791,119.15862613615897,121.51570129394531,111932600,0.0,0.0
2021-03-18 00:00:00-04:00,119.68457136117527,119.97677300065472,117.19114511333716,117.39568328857422,121229700,0.0,0.0
2021-03-19 00:00:00-04:00,116.78206442899135,118.27227638684158,116.56778422545804,116.86972045898438,185549500,0.0,0.0
2021-03-22 00:00:00-04:00,117.20090338075846,120.64884902153915,117.1327239795706,120.18132781982422,111912300,0.0,0.0
2021-03-23 00:00:00-04:00,120.12286614601692,121.00919818208511,118.9638091293934,119.35340881347656,95467100,0.0,0.0
2021-03-24 00:00:00-04:00,119.62615953467325,119.70408097929622,116.94767118149167,116.96714782714844,88530500,0.0,0.0
2021-03-25 00:00:00-04:00,116.43143354135354,118.49630686413842,115.9054750318424,117.4541244506836,98844700,0.0,0.0
2021-03-26 00:00:00-04:00,117.22036189731419,118.32098161470867,115.82754797615723,118.05799865722656,94071200,0.0,0.0
2021-03-29 00:00:00-04:00,118.4865401362883,119.39235614207378,117.59046616503674,118.2332992553711,80819200,0.0,0.0
2021-03-30 00:00:00-04:00,116.98659687346046,117.26905645239088,115.76910253203405,116.78205871582031,85671900,0.0,0.0
2021-03-31 00:00:00-04:00,118.48656634745086,120.30793336547684,117.99956854695249,118.97356414794922,118323800,0.0,0.0
