Feature,Coefficient
Close,1.2685621227736177
SMA_5,-0.08974399286348086
SMA_20,0.023941232433195146
SMA_50,0.007241008881822518
Volatility_20,0.038745748323566705
RSI_14,0.0134184136294456
Daily_Return,-42.2119317493283
Lag_1,-0.2989436132118036
Lag_2,0.02327566785301794
Lag_3,0.061649473868759894
