Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_5,SMA_20,SMA_50,Volatility_20,RSI_14,Daily_Return,Lag_1,Lag_2,Lag_3,Target
2021-05-07 00:00:00-04:00,127.66380595625424,128.0638111341248,126.3271553590937,127.03939056396484,78973300,0.22,0.0,126.35862579345704,129.0720027923584,123.52272537231445,2.08834745717072,37.80150817480677,0.0053273336404422444,126.36619567871094,124.7688446044922,124.52532958984376,123.76119995117188
2021-05-10 00:00:00-04:00,126.25886899143828,126.3856933670304,123.7221730582719,123.76119995117188,88071200,0.0,0.0,125.29219207763671,128.86870307922362,123.63581527709961,2.3917750498125727,34.663898613906696,-0.02580452093039909,127.03939056396484,126.36619567871094,124.7688446044922,122.8440933227539
2021-05-11 00:00:00-04:00,120.4927732833166,123.19532046962064,119.78054551827158,122.8440933227539,126142800,0.0,0.0,124.95594482421875,128.4641960144043,123.603359375,2.689630700093231,31.794977084732537,-0.0074102919879558415,123.76119995117188,127.03939056396484,126.36619567871094,119.78052520751952
2021-05-12 00:00:00-04:00,120.39518935845192,121.6049930518603,119.27319057596678,119.78052520751952,112172300,0.0,0.0,123.95828094482422,128.02339134216308,123.56164352416992,3.3162326477075457,29.487377633925334,-0.024938668456653712,122.8440933227539,123.76119995117188,127.03939056396484,121.9269561767578
2021-05-13 00:00:00-04:00,121.54645335187068,123.07822323359044,121.23424571494743,121.9269561767578,105861300,0.0,0.0,123.0704330444336,127.56962013244629,123.62246490478516,3.502815111313293,28.91380108164381,0.01791969909565516,119.78052520751952,122.8440933227539,123.76119995117188,124.34659576416016
2021-05-14 00:00:00-04:00,123.17581868284024,124.7758841676664,122.7855571745272,124.34659576416016,81918000,0.0,0.0,122.53187408447266,127.25338745117188,123.76927490234375,3.493545026806499,35.151530141958006,0.01984499296361175,121.9269561767578,119.78052520751952,122.8440933227539,123.19532775878906
2021-05-17 00:00:00-04:00,123.73193826034132,123.83926036065176,122.12211419930364,123.19532775878906,74244600,0.0,0.0,122.4186996459961,126.84647598266602,123.86793090820312,3.4671450809591926,33.93436349489144,-0.009258540600135312,124.34659576416016,121.9269561767578,119.78052520751952,121.80989074707033
2021-05-18 00:00:00-04:00,123.47825121325307,123.89778097564653,121.7415955505699,121.80989074707033,63342900,0.0,0.0,122.21185913085938,126.45454330444336,124.0374462890625,3.5750906110462495,33.11016083578946,-0.011245856778199892,123.19532775878906,124.34659576416016,121.9269561767578,121.65379333496094
2021-05-19 00:00:00-04:00,120.16105011854478,121.87818865261367,119.86835215925528,121.65379333496094,92612000,0.0,0.0,122.58651275634766,126.03581314086914,124.11169952392578,3.624567186605632,33.03121469110391,-0.00128148388568472,121.80989074707033,123.19532775878906,124.34659576416016,124.20999145507812
2021-05-20 00:00:00-04:00,122.1806452374261,124.61001150333644,122.05380598133526,124.20999145507812,76857100,0.0,0.0,123.04311981201172,125.82086410522462,124.25869934082031,3.5975525745811754,42.400175542137674,0.021012070812119754,121.65379333496094,121.80989074707033,123.19532775878906,122.37578582763672
2021-05-21 00:00:00-04:00,124.70758884704348,124.88320615344152,122.16114162608145,122.37578582763672,79295400,0.0,0.0,122.64895782470703,125.3982997894287,124.33044540405274,3.4727551583465073,37.07672152206032,-0.014766973300249897,124.20999145507812,121.65379333496094,121.80989074707033,124.00509643554688
2021-05-24 00:00:00-04:00,122.94164165492356,124.82464619337512,122.87334646207267,124.00509643554688,63092900,0.0,0.0,122.8109115600586,125.03771858215332,124.4528938293457,3.2005522413505103,48.87158569779385,0.01331399505948827,122.37578582763672,124.20999145507812,121.65379333496094,123.80996704101562
2021-05-25 00:00:00-04:00,124.70756311355534,125.19539548054684,123.24408834343367,123.80996704101562,72009500,0.0,0.0,123.21092681884765,124.68345527648925,124.513779296875,2.8956774085354864,47.915767018035396,-0.001573559475700037,124.00509643554688,122.37578582763672,124.20999145507812,123.76119995117188
2021-05-26 00:00:00-04:00,123.86852204574208,124.28805183989326,123.3416701570207,123.76119995117188,56575900,0.0,0.0,123.63240814208984,124.36619911193847,124.54291076660157,2.6030754469172326,43.92903498821163,-0.00039388662326023116,123.80996704101562,124.00509643554688,122.37578582763672,122.22942352294922
2021-05-27 00:00:00-04:00,123.3611810284224,124.5319579811851,122.03429651202822,122.22942352294922,94625600,0.0,0.0,123.23629455566406,123.97722396850585,124.55718521118165,2.2762323369689765,39.22166458206964,-0.012376871174705761,123.76119995117188,123.80996704101562,124.00509643554688,121.5757293701172
2021-05-28 00:00:00-04:00,122.51235234032616,122.73675508280115,121.51719276060966,121.5757293701172,71311100,0.0,0.0,123.07628326416015,123.65393524169922,124.6407861328125,2.122584475555772,44.44991684194704,-0.005348091596859117,122.22942352294922,123.76119995117188,123.80996704101562,121.25376892089844
2021-06-01 00:00:00-04:00,122.03429182182089,122.29771402080183,120.92205152635812,121.25376892089844,67637100,0.0,0.0,122.52601776123046,123.26195526123047,124.72846710205079,1.7577247558080462,45.83542613923563,-0.0026482296333885103,121.5757293701172,122.22942352294922,123.76119995117188,122.01477813720705
